semester,crn,full_number,number,title,seats_available,seats_total,location,day_of_week,start,end
Spring%202016,26509,GEOL2880-S01,GEOL2880,Planetary Cratering,992,999,Lincoln Field Building 209,T,37800,42600
Spring%202016,25712,GEOL2920C-S01,GEOL2920C,The Sedimentary Rock Cycle of Mars and Earth,32,40,Lincoln Field Building 209,F,46800,55800
Spring%202016,25140,GEOL2920N-S01,GEOL2920N,Problems Antartic Dry Valley Geoscience,29,40,Lincoln Field Building 105,M,54000,63000
Spring%202016,26376,SCSO0392-S02,SCSO0392,The Phoenix and the Hummingbird: Natural History from Antiquity to Evolution,11,20,Pembroke Hall 102,T,32400,37200
Spring%202016,25277,SCSO1000-S01,SCSO1000,Introduction to Science and Society: Theories and Controversies,6,30,Alumnae Hall 212,T,37800,42600
Spring%202016,25275,SCSO0700B-S01,SCSO0700B,Science and Social Controversy,1,20,J. Walter Wilson 201,T,57600,66600
Spring%202016,24478,HISP0200-S04,HISP0200,Basic Spanish,9,18,Alumnae Hall 212,M,46800,49800
Spring%202016,24475,HISP0200-S01,HISP0200,Basic Spanish,10,18,Sayles Hall 306,M,32400,35400
Spring%202016,24477,HISP0200-S03,HISP0200,Basic Spanish,8,18,Sayles Hall 105,M,43200,46200
Spring%202016,24479,HISP0300-S01,HISP0300,Intermediate Spanish I,14,18,Wilson Hall 205,M,36000,39000
Spring%202016,24476,HISP0200-S02,HISP0200,Basic Spanish,0,18,Sayles Hall 306,M,36000,39000
Spring%202016,24488,HISP0500-S02,HISP0500,Advanced Spanish I,4,18,Smith-Buonanno Hall G18,M,36000,39000
Spring%202016,24483,HISP0400-S01,HISP0400,Intermediate Spanish II,11,18,Smith-Buonanno Hall 101,M,32400,35400
Spring%202016,24486,HISP0400-S04,HISP0400,Intermediate Spanish II,5,18,Smith-Buonanno Hall 101,M,46800,49800
Spring%202016,24485,HISP0400-S03,HISP0400,Intermediate Spanish II,14,18,Smith-Buonanno Hall 101,M,43200,46200
Spring%202016,24487,HISP0500-S01,HISP0500,Advanced Spanish I,10,18,Smith-Buonanno Hall G18,M,32400,35400
Spring%202016,24484,HISP0400-S02,HISP0400,Intermediate Spanish II,4,18,Smith-Buonanno Hall 101,M,36000,39000
Spring%202016,24489,HISP0500-S03,HISP0500,Advanced Spanish I,5,18,Smith-Buonanno Hall G18,M,50400,53400
Spring%202016,24490,HISP0600-S01,HISP0600,Advanced Spanish II,11,15,Smith-Buonanno Hall 206,M,32400,35400
Spring%202016,24494,HISP0600-S05,HISP0600,Advanced Spanish II,2,15,Smith-Buonanno Hall 206,M,46800,49800
Spring%202016,24491,HISP0600-S02,HISP0600,Advanced Spanish II,6,15,Smith-Buonanno Hall G13,M,36000,39000
Spring%202016,24676,HISP0750B-S01,HISP0750B,Hispanics in the United States,0,20,Smith-Buonanno Hall G18,M,46800,49800
Spring%202016,24492,HISP0600-S03,HISP0600,Advanced Spanish II,9,15,Wilson Hall 105,M,39600,42600
Spring%202016,25209,HISP0760-S01,HISP0760,Transatlantic Crossings: Readings in Hispanic Literatures,0,18,Sayles Hall 204,T,32400,37200
Spring%202016,24493,HISP0600-S04,HISP0600,Advanced Spanish II,9,15,Sayles Hall 005,M,43200,46200
Spring%202016,25206,HISP0710B-S01,HISP0710B,Hispanic Culture Through Cinema,-4,12,J. Walter Wilson 303,T,52200,57000
Spring%202016,25769,HISP0750N-S01,HISP0750N,"Muslims, Jews, and Christians in Medieval Iberia",16,20, ,M,54000,63000
Spring%202016,26183,HISP2160N-S01,HISP2160N,Antiquity and Innovation in the Hispanic Renaissance ,38,40,Wilson Hall 306,R,57600,66600
Spring%202016,26024,HISP1330U-S01,HISP1330U,"Hauntings: Gothic Fictions, Banditry and the Supernatural in Latin America",0,18,Smith-Buonanno Hall G13,M,39600,42600
Spring%202016,26322,HISP1700A-S01,HISP1700A,Dismantling the Clockwork: Creative Writing and Narrative Techniques,4,20,70 Brown Street 130,T,37800,42600
Spring%202016,24808,HISP1330C-S01,HISP1330C,Indigenous Literatures of Latin America,30,40,Smith-Buonanno Hall G01,M,54000,63000
Spring%202016,26190,HISP1330V-S01,HISP1330V,Gender Trouble in Spanish America,994,999,Smith-Buonanno Hall G12,M,43200,46200
Spring%202016,24685,HISP2350H-S01,HISP2350H,The History of Wonder in Colonial Spanish American Lettres,11,20,Marston Hall 209,F,54000,63000
Spring%202016,25706,HISP2350S-S01,HISP2350S,Contemporary Poetry in Spanish,35,40,84 Prospect St-Rochambeau Hse 107,W,54000,63000
Spring%202016,26359,DEVL1802R-S01,DEVL1802R,The History and Politics of Development in the Middle East,19,20,111 Thayer St-Watson Institute 138,T,57600,66600
Spring%202016,26255,DEVL1500-S01,DEVL1500,Methods in Development Research,6,20,111 Thayer St-Watson Institute 114,T,57600,66600
Spring%202016,26266,DEVL1802S-S01,DEVL1802S,Human Security and Humanitarian Response:  Increasing Effectiveness and Accountability,1,20,Wilson Hall 305,R,57600,66600
Spring%202016,26162,DEVL2010-S01,DEVL2010,Theory and Research in Development II,34,40, ,W,46800,55800
Spring%202016,24280,BEO1940B-S01,BEO1940B,BEO Capstone II: Entrepreneurship and Technology Management Track,991,999,Barus & Holley 157,T,52200,57000
Spring%202016,24279,BEO1940A-S01,BEO1940A,BEO Capstone II: Organizational Studies Track,971,999,85 Waterman Street 015,T,52200,57000
Spring%202016,24598,FREN0200-S01,FREN0200,Basic French,7,18,Wilson Hall 203,M,32400,35400
Spring%202016,24604,FREN0400-S01,FREN0400,Intermediate French II,4,18,Wilson Hall 303,M,36000,39000
Spring%202016,24601,FREN0200-S04,FREN0200,Basic French,0,18,Wilson Hall 303,T,37800,42600
Spring%202016,24602,FREN0200-S05,FREN0200,Basic French,2,18,Wilson Hall 303,T,32400,37200
Spring%202016,24605,FREN0400-S02,FREN0400,Intermediate French II,8,18,Wilson Hall 203,M,43200,46200
Spring%202016,24603,FREN0200-S06,FREN0200,Basic French,9,18,Wilson Hall 303,M,32400,35400
Spring%202016,24608,FREN0500-S02,FREN0500,Writing and Speaking French I,1,18,Sayles Hall 204,M,36000,39000
Spring%202016,24606,FREN0400-S03,FREN0400,Intermediate French II,5,18,Wilson Hall 103,M,46800,49800
Spring%202016,24609,FREN0500-S03,FREN0500,Writing and Speaking French I,0,18,Sayles Hall 204,M,39600,42600
Spring%202016,24613,FREN0600-S02,FREN0600,Writing and Speaking French II,4,18,Sayles Hall 005,M,36000,39000
Spring%202016,24614,FREN0600-S03,FREN0600,Writing and Speaking French II,4,18,Sayles Hall 005,M,39600,42600
Spring%202016,24612,FREN0600-S01,FREN0600,Writing and Speaking French II,10,18,Sayles Hall 005,M,32400,35400
Spring%202016,24615,FREN0600-S04,FREN0600,Writing and Speaking French II,3,18,Sayles Hall 005,M,46800,49800
Spring%202016,25196,FREN0720B-S01,FREN0720B,The French Novel Today,15,20,Sayles Hall 200,M,54000,63000
Spring%202016,25194,FREN1510J-S01,FREN1510J,Advanced Oral and Written French: Photographie,1,18,Smith-Buonanno Hall 206,M,39600,42600
