date,temperature,wind speed,rain,snow
12:51 PM May 15 2015,20.0,18.5,0,0
1:51 PM May 15 2015,20.0,20.4,0,0
2:51 PM May 15 2015,20.0,24.1,0,0
3:51 PM May 15 2015,19.4,24.1,0,0
4:51 PM May 15 2015,18.3,24.1,0,0
5:51 PM May 15 2015,18.9,20.4,0,0
6:51 PM May 15 2015,20.0,16.7,0,0
7:51 PM May 15 2015,18.9,18.5,0,0
8:51 AM September 09 2015,26.1,11.1,0,0
9:51 AM September 09 2015,28.3,18.5,0,0
10:51 AM September 09 2015,29.4,25.9,0,0
11:51 AM September 09 2015,30.0,22.2,0,0
12:51 PM September 09 2015,31.1,18.5,0,0
1:51 PM September 09 2015,31.1,24.1,0,0
2:51 PM September 09 2015,31.1,25.9,0,0
3:51 PM September 09 2015,30.6,27.8,0,0
4:51 PM September 09 2015,29.4,25.9,0,0
5:51 PM September 09 2015,27.8,29.6,0,0
6:51 PM September 09 2015,26.1,20.4,0,0
7:51 PM September 09 2015,25.0,18.5,0,0
8:39 AM September 10 2015,23.9,13.0,1,0
8:51 AM September 10 2015,23.9,9.3,1,0
9:51 AM September 10 2015,24.4,13.0,0,0
10:46 AM September 10 2015,24.0,14.8,1,0
10:51 AM September 10 2015,24.4,13.0,1,0
11:51 AM September 10 2015,24.4,18.5,0,0
12:01 PM September 10 2015,24.4,18.5,0,0
12:44 PM September 10 2015,23.3,16.7,1,0
12:51 PM September 10 2015,23.3,16.7,1,0
1:23 PM September 10 2015,22.8,18.5,1,0
1:51 PM September 10 2015,22.8,20.4,0,0
2:51 PM September 10 2015,22.2,18.5,0,0
3:08 PM September 10 2015,22.2,18.5,0,0
3:28 PM September 10 2015,22.2,14.8,0,0
3:33 PM September 10 2015,22.2,14.8,0,0
3:44 PM September 10 2015,21.7,14.8,1,0
3:51 PM September 10 2015,21.7,18.5,1,0
4:00 PM September 10 2015,21.7,13.0,1,0
4:12 PM September 10 2015,21.1,13.0,1,0
4:20 PM September 10 2015,21.1,16.7,1,0
4:51 PM September 10 2015,20.0,22.2,1,0
5:11 PM September 10 2015,19.4,25.9,1,0
5:43 PM September 10 2015,18.9,22.2,1,0
